lead_id,canonical_anchors,status,decision,reason,candidate_id,catalog_action,family_id
L0038,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L375-376[U005067];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L377-381[U005068],RESOLVED,ca-rule-callback,Function-valued local rule for ordinary CA,,not-serious-candidate,not-applicable
L0039,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L384-385[U005070];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L386-390[U005071],RESOLVED,totalistic-ca-preset,Specific two-dimensional totalistic rule,,not-serious-candidate,not-applicable
L0040,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L474-475[U005107];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L476-479[U005108];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L480-481[U005109],RESOLVED,ca-symbolic-evaluator,Symbolic formulas evaluate CA cells from symbolic initial values,,not-serious-candidate,not-applicable
L0041,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L482-483[U005110],WEAK,ca-mathematical-interpretation,State-space interpretation does not change evolution,,not-serious-candidate,not-applicable
L0042,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L486-487[U005112],RESOLVED,ca-state-map-plot,Plots an observer-defined numeric state mapping,,not-serious-candidate,not-applicable
L0043,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L488-489[U005113];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L498-499[U005116];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L507-508[U005119];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L534-535[U005129],RESOLVED,additive-ca-preset,Rule 90 and Pascal parity are the same additive CA,,not-serious-candidate,not-applicable
L0044,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L490-491[U005114],WEAK,additive-ca-property,Counts and positions of black cells are properties,,not-serious-candidate,not-applicable
L0045,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L490-491[U005114];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L492-497[U005115],RESOLVED,additive-ca-analysis,Closed formulas analyze an additive CA preset,,not-serious-candidate,not-applicable
L0046,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L500-501[U005117];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L502-506[U005118],RESOLVED,ca-coordinate-evaluator,Direct cell formula for additive rule 60,,not-serious-candidate,not-applicable
L0047,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L500-501[U005117],RESOLVED,ca-coordinate-evaluator,Duplicate direct cell formula for rule 60,,not-serious-candidate,not-applicable
L0048,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L509-510[U005120],RESOLVED,ca-seed-form,Alternate initial condition for an existing CA,,not-serious-candidate,not-applicable
L0049,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L515-516[U005123];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L517-521[U005124];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L522-523[U005125];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L530-531[U005127],RESOLVED,additive-ca,Modular multi-color generalization of additive CA,,not-serious-candidate,not-applicable
L0050,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L522-523[U005125],RESOLVED,additive-ca-analysis,Convolution formula implements additive CA,,not-serious-candidate,not-applicable
L0051,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L522-523[U005125],RESOLVED,additive-ca-analysis,Duplicate additive CA formula surface,,not-serious-candidate,not-applicable
L0052,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L522-523[U005125];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L524-529[U005126],RESOLVED,additive-ca-analysis,Additive CA formula with composite-color detail,,not-serious-candidate,not-applicable
L0053,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L530-531[U005127],WEAK,additive-ca-property,Nesting and fractal dimension are properties,,not-serious-candidate,not-applicable
L0054,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L544-545[U005134],WEAK,integer-pattern-example,Integer functions reduced modulo two are examples,,not-serious-candidate,not-applicable
L0055,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L544-545[U005134],WEAK,integer-pattern-example,Duplicate modular integer-pattern example,,not-serious-candidate,not-applicable
L0056,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L546-547[U005135];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L548-549[U005136],RESOLVED,bitwise-ca-encoding,Bitwise expressions encode ordinary CA rules,,not-serious-candidate,not-applicable
L0057,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L546-547[U005135];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L548-549[U005136],RESOLVED,bitwise-ca-encoding,Duplicate bitwise CA encoding surface,,not-serious-candidate,not-applicable
L0058,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L546-547[U005135];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L548-549[U005136],RESOLVED,bitwise-ca-encoding,Duplicate bitwise CA encoding surface,,not-serious-candidate,not-applicable
L0059,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L550-551[U005137];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L552-553[U005138],RESOLVED,bitwise-plot-preset,Munching squares is a plotted bitwise preset,,not-serious-candidate,not-applicable
L0060,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L554-555[U005139];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L556-557[U005140],WEAK,bitwise-curve-example,Nested bitwise curves are output examples,,not-serious-candidate,not-applicable
L0061,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L554-555[U005139];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L556-557[U005140],WEAK,bitwise-curve-example,Duplicate bitwise curve example,,not-serious-candidate,not-applicable
L0062,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L554-555[U005139];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L556-557[U005140],WEAK,bitwise-curve-example,Duplicate bitwise curve example,,not-serious-candidate,not-applicable
L0063,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L566-567[U005145];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L568-572[U005146],WEAK,ca-statistic,Center-column counts are measured output statistics,,not-serious-candidate,not-applicable
L0064,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L577-578[U005149],RESOLVED,elementary-ca-preset,Rule 110 references an existing CA preset,,not-serious-candidate,not-applicable
L0065,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L623-624[U005172];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L625-626[U005173];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L627-628[U005174];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L629-630[U005175];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L631-632[U005176];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L633-634[U005177],WEAK,ornamental-history,Historical decorative construction example,,not-serious-candidate,not-applicable
L0066,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L635-636[U005178],WEAK,ornamental-history,Historical circle-based ornament example,,not-serious-candidate,not-applicable
L0067,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L637-638[U005179];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L639-640[U005180];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L641-642[U005181];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L643-644[U005182];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L645-646[U005183],WEAK,ornamental-history,Historical decorative construction examples,,not-serious-candidate,not-applicable
L0068,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L647-648[U005184];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L649-650[U005185];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L651-652[U005186];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L653-654[U005187];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L655-656[U005188],WEAK,ornamental-history,Historical mosaic construction example,,not-serious-candidate,not-applicable
L0069,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L665-666[U005193];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L669-670[U005195];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L671-672[U005196];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L673-674[U005197];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L675-676[U005198],WEAK,ornamental-history,Historical nested mosaic examples,,not-serious-candidate,not-applicable
L0070,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L685-686[U005203],WEAK,ornamental-history,Historical tiling example,,not-serious-candidate,not-applicable
L0071,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L693-694[U005207],WEAK,architecture-history,Architecture narrative lacks formal mechanics,,not-serious-candidate,not-applicable
L0072,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L697-698[U005209];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L699-700[U005210];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L701-702[U005211];BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L703-704[U005212],WEAK,rope-history,Rope construction is an informal artifact example,,not-serious-candidate,not-applicable
L0073,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L715-716[U005218],WEAK,poetry-history,Poetic rule enumeration is historical narrative,,not-serious-candidate,not-applicable
L0074,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L715-716[U005218],WEAK,poetry-history,Duplicate poetic-rule narrative,,not-serious-candidate,not-applicable
L0075,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L721-722[U005221],WEAK,game-history,General discussion of games and choices,,not-serious-candidate,not-applicable
L0076,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L721-722[U005221],WEAK,game-history,Duplicate game narrative,,not-serious-candidate,not-applicable
L0077,BACK-MATTER/NOTES/02-The-Crucial-Experiment-Notes.md:L723-724[U005222],WEAK,puzzle-history,Puzzles are cited as generic constraints,,not-serious-candidate,not-applicable
