book_index,family_id,home,slug,book_rank,audit_family_id,home_order,home_rank,home_index,home_first_book_rank,first_appearance_part,first_appearance_anchor,first_appearance_member,constructor,coverage,closed_parameters,catalog_source_refs,name_relations
B019,SPF007,automata,coupled-field-mobile-locus-evolution,19,F007,1,4,AUT004,1,main-text,CH08:L131,coupled-field-mobile-locus-evolution,ca.catalog.automata.coupled_field_mobile_locus_evolution,addition,seed;field_law;mobile_law;boundary,CH08:L131-138,
B020,SPF001,automata,alternating-partition-local-evolution,20,F001,1,5,AUT005,1,main-text,CH08:L155,alternating-partition-local-evolution,ca.catalog.automata.alternating_partition_local_evolution,addition,seed;partition;block_law;boundary;phase,"CH08:L155-165 | N08:L107,L124-126 | CH09:L303-321",
B021,SPF034,automata,mutable-rule-local-automaton,21,F035,1,6,AUT006,1,main-text,CH08:L319,mutable-rule-local-automaton,ca.catalog.automata.mutable_rule_local_automaton,addition,seed;rule_program;interpreter;mutation_law,CH08:L319-329,
B022,SPF017,criteria,geometric-embedding-relation,22,F018,6,3,CRI003,16,main-text,CH08:L563,geometric-embedding-relation,ca.catalog.criteria.geometric_embedding_relation,addition,mesh;growth;metric_constraints;boundary_embedding,CH08:L563-569 | N08:L226,
B023,SPF031,substitua,moving-frontier-shell-accretion,23,F032,3,10,SUB010,4,main-text,CH08:L581,moving-frontier-shell-accretion,ca.catalog.substitua.moving_frontier_shell_accretion,addition,seed;strip_constructor;rim_law;geometry;terminal_condition,CH08:L581-591 | N08:L234-246,
B024,SPF036,dynamica,ordinary-differential-flow,24,F037,5,2,DYN002,13,main-text,CH08:L613,intrinsic-curvature-curve-integration,ca.catalog.dynamica.ordinary_differential_flow,addition,seed;rhs;parameters;duration_or_event,"BACK-MATTER/NOTES/04-Systems-Based-on-Numbers-Notes/04-Systems-Based-on-Numbers-Notes.md:L901-902,L953-980",
B025,SPF004,media,event-provenance-causal-network,25,F004,4,2,MED002,12,main-text,CH09:L655,event-provenance-causal-network,ca.catalog.media.event_provenance_causal_network,addition,event_trace;read_sets;initial_provenance,"CH09:L655-707 | N09:L347-355,L378-384",
B026,SPF028,substitua,local-graph-rewrite,26,F029,3,11,SUB011,4,main-text,CH09:L901,local-graph-rewrite,ca.catalog.substitua.local_graph_rewrite,addition,seed;patterns;replacements;match_schedule;interface_schema,"CH09:L901-965 | N09:L495-528,L552-556,L594-600",
B027,SPF012,media,maximal-run-record-transduction,27,F013,4,3,MED003,12,main-text,CH10:L163,maximal-run-record-transduction,ca.catalog.media.maximal_run_record_transduction,addition,input;record_grammar;direction;scan;feedback,"CH10:L163-187 | N10:L83-85,L171-175 | N04:L193-202",P look_and_say feedback preset | flat export | preset source N04:L193-202
B028,SPF054,media,weighted-prefix-block-transduction,28,F057,4,4,MED004,12,main-text,CH10:L189,weighted-prefix-block-transduction,ca.catalog.media.weighted_prefix_block_transduction,addition,input;block_partition;weights_or_tree;direction,"CH10:L189-205,L235-249 | N10:L87-106",
B029,SPF056,media,history-reference-record-transduction,29,F059,4,5,MED005,12,main-text,CH10:L209,history-reference-record-transduction,ca.catalog.media.history_reference_record_transduction,addition,input;match_policy;dictionary;record_grammar;direction,CH10:L209-267 | N10:L123-153,
B030,SPF057,media,recursive-uniform-region-decomposition,30,F060,4,6,MED006,12,main-text,CH10:L233,recursive-uniform-region-decomposition,ca.catalog.media.recursive_uniform_region_decomposition,addition,input;root_region;split;uniformity;cutoff;direction,"CH10:L233-239,L269-279 | N10:L154-168",
B031,SPF058,media,orthogonal-basis-coefficient-transform,31,F061,4,7,MED007,12,main-text,CH10:L281,orthogonal-basis-coefficient-transform,ca.catalog.media.orthogonal_basis_coefficient_transform,addition,input;basis;ordering;retention;quantization;direction,CH10:L281-305 | N10:L181-288,
B032,SPF041,media,probabilistic-transition-model-fitting,32,F044,4,8,MED008,12,main-text,CH10:L441,probabilistic-transition-model-fitting,ca.catalog.media.probabilistic_transition_model_fitting,addition,observations;topology;estimator;generation_law;generation_request,CH10:L441-459 | N10:L495-501,
B033,SPF042,criteria,program-randomization-test,33,F045,6,4,CRI004,16,main-text,CH10:L515,program-randomization-test,ca.catalog.criteria.program_randomization_test,addition,observed;surrogate_law;program;statistic;replicates;calibration,CH10:L515-533,
B034,SPF060,media,aligned-xor-stream-transduction,34,F063,4,9,MED009,12,main-text,CH10:L539,aligned-xor-stream-transduction,ca.catalog.media.aligned_xor_stream_transduction,addition,input;keystream;alignment;generator,"CH10:L539-565,L599-605",
B035,SPF024,criteria,inverse-local-system-reconstruction,35,F025,6,5,CRI005,16,main-text,CH10:L575,inverse-local-system-reconstruction,ca.catalog.criteria.inverse_local_system_reconstruction,addition,observations;local_law;boundary;unknown_schema;search_order,"CH10:L575-633 | N10:L531-544,L608-624",
B036,SPF020,media,hash-index-transform,36,F021,4,10,MED010,12,main-text,CH10:L829,hash-index-transform,ca.catalog.media.hash_index_transform,addition,key;table;hash_fold;collision;operation,CH10:L829-839 | N10:L976-980,
B037,SPF010,machina,enumerative-semidecision,37,F011,2,3,MAC003,2,main-text,CH10:L975,enumerative-semidecision,ca.catalog.machina.enumerative_semidecision,addition,query;enumeration;predicate;start,CH10:L975-989 | N10:L5-15 | N11:L829-855,
B038,SPF013,machina,finite-gate-circuit,38,F014,2,4,MAC004,2,main-text,CH11:L281-285,logic_circuit,ca.catalog.machina.finite_gate_circuit,addition,inputs;wiring;gates;schedule;measurement,"N10:L904 | N12:L331-347,L560-574",
B039,SPF018,criteria,global-equation-relation,39,F019,6,6,CRI006,16,main-text,CH12:L541,post-correspondence-relation,ca.catalog.criteria.global_equation_relation,addition,equation;domain;known_assignments;witness_schema,CH12:L885-905 | N12:L901-966,
B040,SPF014,criteria,finite-model-satisfaction,40,F015,6,7,CRI007,16,main-text,CH12:L1073,finite-model-satisfaction,ca.catalog.criteria.finite_model_satisfaction,addition,axioms;finite_domain;signatures;fixed_tables,"CH12:L1073-1095 | N12:L1189-1203,L1245-1257",
B041,SPF002,substitua,append-only-sequence-generation,41,F002,3,12,SUB012,4,back-matter-note,N04:L203,append-only-sequence-generation,ca.catalog.substitua.append_only_sequence_generation,covered,seed;emitter;control_schema;support,"BACK-MATTER/NOTES/04-Systems-Based-on-Numbers-Notes/04-Systems-Based-on-Numbers-Notes.md:L203-210,L569-599",T40 split branch | P constant_digit_sequence
B042,SPF044,machina,recursive-function-evaluator,42,F047,2,5,MAC005,2,back-matter-note,N04:L237,recursive-function-evaluator,ca.catalog.machina.recursive_function_evaluator,covered,call;definitions;evaluation_order;cache,"BACK-MATTER/NOTES/04-Systems-Based-on-Numbers-Notes/04-Systems-Based-on-Numbers-Notes.md:L237-268,L316-364",Repaired T41 | function_combination_system retained only as deprecated metadata
B043,SPF022,substitua,history-dependent-growth-rewrite,43,F023,3,13,SUB013,4,back-matter-note,N05:L130,history-dependent-growth-rewrite,ca.catalog.substitua.history_dependent_growth_rewrite,addition,seed;eligibility;provenance_law;boundary,BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L130-151,
B044,SPF027,criteria,local-factor-weighted-relation,44,F028,6,8,CRI008,16,back-matter-note,N05:L704,energy-minimization-constraint,ca.catalog.criteria.local_factor_weighted_relation,addition,seed;factors;reduction;normalization;objective,N10:L493-494,
B045,SPF043,substitua,random-functional-graph-construction,45,F046,3,14,SUB014,4,back-matter-note,N06:L589,random-functional-graph-construction,ca.catalog.substitua.random_functional_graph_construction,addition,nodes;successor_measure,BACK-MATTER/NOTES/06-Starting-from-Randomness-Notes/06-Starting-from-Randomness-Notes.md:L589-590,
B046,SPF006,dynamica,continuous-event-dynamics,46,F006,5,3,DYN003,13,back-matter-note,N07:L60,continuous-event-dynamics,ca.catalog.dynamica.continuous_event_dynamics,addition,seed;geometry;flow_law;reset_law;terminal_condition,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes/07-Mechanisms-in-Programs-and-Nature-Notes.md:L60-61,
B047,SPF015,substitua,first-passage-aggregation,47,F016,3,15,SUB015,4,back-matter-note,N07:L359,first-passage-aggregation,ca.catalog.substitua.first_passage_aggregation,addition,seed;walk_law;contact;release;boundary;target,N08:L50 | BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes/07-Mechanisms-in-Programs-and-Nature-Notes.md:L359-360,
B048,SPF040,automata,population-evolutionary-search,48,F043,1,7,AUT007,1,back-matter-note,N07:L556,population-evolutionary-search,ca.catalog.automata.population_evolutionary_search,addition,population;fitness_expression;selection;recombination;mutation;size,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes/07-Mechanisms-in-Programs-and-Nature-Notes.md:L556-560,
B049,SPF009,automata,driven-relaxation,49,F009,1,8,AUT008,1,back-matter-note,N07:L665,driven-relaxation,ca.catalog.automata.driven_relaxation,addition,seed;drive_law;toppling_law;boundary;relaxation_form,BACK-MATTER/NOTES/07-Mechanisms-in-Programs-and-Nature-Notes/07-Mechanisms-in-Programs-and-Nature-Notes.md:L665-676,
B050,SPF003,automata,asynchronous-local-state-automaton,50,F003,1,9,AUT009,1,back-matter-note,N09:L407,asynchronous-local-state-automaton,ca.catalog.automata.asynchronous_local_state_automaton,addition,seed;local_law;schedule;boundary,N09:L407-443,
B051,SPF046,media,sampled-causal-order-network,51,F049,4,11,MED011,12,back-matter-note,N09:L816,sampled-causal-order-network,ca.catalog.media.sampled_causal_order_network,addition,region;causal_order;density;event_measure,N09:L816-818,Distinct from F004 producer-history transform
B052,SPF051,criteria,weighted-history-sum-relation,52,F054,6,9,CRI009,16,back-matter-note,N09:L880,weighted-history-sum-relation,ca.catalog.criteria.weighted_history_sum_relation,addition,domain;side_data;histories;action;measure;observables,"N09:L880,L955-957",
B053,SPF055,media,nested-interval-symbol-transduction,53,F058,4,12,MED012,12,back-matter-note,N10:L108,nested-interval-symbol-transduction,ca.catalog.media.nested_interval_symbol_transduction,addition,input;probability_model;precision;direction,N10:L108-121,
B054,SPF011,media,error-diffusion-transform,54,F012,4,13,MED013,12,back-matter-note,N10:L348,error-diffusion-transform,ca.catalog.media.error_diffusion_transform,addition,input;palette;diffusion_kernel;scan,N10:L348-360,
B055,SPF059,media,predictive-residual-transduction,55,F062,4,14,MED014,12,back-matter-note,N10:L424,predictive-residual-transduction,ca.catalog.media.predictive_residual_transduction,addition,input;predictor;history;fitting;residual_code;direction,N10:L424,
B056,SPF035,machina,nearest-neighbor-retrieval,56,F036,2,6,MAC006,2,back-matter-note,N10:L988,nearest-neighbor-retrieval,ca.catalog.machina.nearest_neighbor_retrieval,addition,items;query;metric;index;traversal,N10:L988-996,
B057,SPF052,automata,weighted-network-state-update,57,F055,1,10,AUT010,1,back-matter-note,N10:L1019,matrix-associative-memory,ca.catalog.automata.weighted_network_state_update,covered,network;seed;weights;schedule;learning_law,N10:L1021-1023,Normalizes C045 legacy coverage | no T01–T45 owner | never alias network_system
B058,SPF021,automata,history-dependent-agent-game,58,F022,1,11,AUT011,1,back-matter-note,N10:L1081,history-dependent-agent-game,ca.catalog.automata.history_dependent_agent_game,addition,agents;histories;payoff;action_schema;round_control,N10:L1081-1085,
B059,SPF048,machina,stored-program-random-access-machine,59,F051,2,7,MAC007,2,back-matter-note,N11:L15,stored-program-random-access-machine,ca.catalog.machina.stored_program_random_access_machine,addition,memory;entry;instruction_set,N11:L15-23,
B060,SPF053,machina,priority-dovetailed-oracle-construction,60,F056,2,8,MAC008,2,back-matter-note,N12:L80,priority-dovetailed-oracle-construction,ca.catalog.machina.priority_dovetailed_oracle_construction,addition,approximations;machines;requirements;priority;fair_schedule,N12:L80-92,
